workflow_species_label	source_species_name	accepted_species_name	ncbi_taxon_id	parent_taxon_id	parent_taxon_name	lineage_taxon_ids	lineage_names	mapping_status	mapping_method	mapping_source	source_date	source_version	reviewed_by	reviewed_at_utc	review_note
Anopheles_gambiae	Anopheles gambiae	Anopheles gambiae	7165	44542	gambiae species complex	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;3701028;3701030;6960;50557;85512;7496;33340;3701061;33392;3701062;3701063;7147;7148;43786;41827;7157;43816;7164;44534;44537;44542	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Diptera;Nematocera;Culicomorpha;Culicoidea;Culicidae;Anophelinae;Anopheles;Cellia;Pyretophorus;gambiae species complex	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Arabidopsis_thaliana	Arabidopsis thaliana	Arabidopsis thaliana	3702	3701	Arabidopsis	131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91836;3699;3700;980083;3701	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Brassicales;Brassicaceae;Camelineae;Arabidopsis	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Batrachochytrium_dendrobatidis	Batrachochytrium dendrobatidis	Batrachochytrium dendrobatidis	109871	100474	Batrachochytrium	131567;2759;33154;4751;112252;3705317;4761;3705883;451435;451442;1142503;100474	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;chytridiomyceta;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Rhizophydiales;Rhizophydiales incertae sedis;Batrachochytrium	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Bos_taurus	Bos taurus	Bos taurus	9913	9903	Bos	131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314145;91561;9845;35500;9895;27592;9903	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Ruminantia;Pecora;Bovidae;Bovinae;Bos	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Brachypodium_distachyon	Brachypodium distachyon	Brachypodium distachyon	15368	15367	Brachypodium	131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147368;2822797;147385;15367	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Stipodae;Brachypodieae;Brachypodium	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Branchiostoma_floridae	Branchiostoma floridae	Branchiostoma floridae	7739	7737	Branchiostoma	131567;2759;33154;33208;6072;33213;33511;7711;7735;2682552;2682553;7736;7737	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Cephalochordata;Leptocardii;Amphioxiformes;Branchiostomatidae;Branchiostoma	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Caenorhabditis_elegans	Caenorhabditis elegans	Caenorhabditis elegans	6239	6237	Caenorhabditis	131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;2301116;2301119;55879;6243;55885;6237	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Candida_albicans	Candida albicans	Candida albicans	5476	5475	Candida	131567;2759;33154;4751;451864;4890;716545;147537;3239874;2916678;766764;5475	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Serinales;Debaryomycetaceae;Candida	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Canis_lupus	Canis lupus	Canis lupus	9612	9611	Canis	131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314145;33554;379584;9608;9611	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Carnivora;Caniformia;Canidae;Canis	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Chlamydomonas_reinhardtii	Chlamydomonas reinhardtii	Chlamydomonas reinhardtii	3055	3052	Chlamydomonas	131567;2759;33090;3041;2692248;3166;2812636;3042;3051;3052	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorophyceae;CS clade;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Ciona_intestinalis	Ciona intestinalis	Ciona intestinalis	7719	7718	Ciona	131567;2759;33154;33208;6072;33213;33511;7711;7712;7713;7716;7717;7718	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Tunicata;Ascidiacea;Phlebobranchia;Cionidae;Ciona	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Cryptococcus_neoformans	Cryptococcus neoformans	Cryptococcus neoformans	5207	1897064	Cryptococcus neoformans species complex	131567;2759;33154;4751;451864;5204;5302;155616;5234;1884633;5206;1897064	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus neoformans species complex	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Danio_rerio	Danio rerio	Danio rerio	7955	7954	Danio	131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;2743709;2743711;7954	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Danionidae;Danioninae;Danio	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
